(13,106,25.000000)
(13,276,20.000000)
(0,106,3.000000)
(264,280,7.000000)
(273,281,17.000000)
(105,281,95.000000)
(7,251,1.000000)
(105,265,18.000000)
(264,265,4241.000000)
(280,281,9.000000)
(107,294,3.000000)
(107,264,1.000000)
(258,267,19.000000)
(268,293,8.000000)
(18,293,1.000000)
(293,294,8.000000)
(267,280,12.000000)
(99,280,1.000000)
(267,290,4.000000)
(109,276,7.000000)
(266,268,25.000000)
(13,109,41.000000)
(99,265,28.000000)
(27,276,20.000000)
(13,99,28.000000)
(266,276,43.000000)
(101,265,7.000000)
(99,101,1.000000)
(20,265,3.000000)
(13,264,61.000000)
(264,281,158.000000)
(13,290,116.000000)
(281,294,61.000000)
(0,258,175.000000)
(13,281,76.000000)
(276,281,6.000000)
(276,294,11.000000)
(0,291,1.000000)
(281,285,3.000000)
(20,291,1.000000)
(13,256,13.000000)
(266,294,41.000000)
(82,281,12.000000)
(13,258,50.000000)
(13,56,33.000000)
(18,109,1.000000)
(109,281,6.000000)
(105,264,22.000000)
(264,290,4.000000)
(13,105,27.000000)
(46,265,1.000000)
(281,290,2.000000)
(106,266,1.000000)
(7,109,20.000000)
(267,278,1.000000)
(7,281,18.000000)
(267,294,1.000000)
(258,290,168.000000)
(56,265,3.000000)
(109,294,1.000000)
(20,281,3.000000)
(16,266,1.000000)
(272,273,3.000000)
(267,272,2.000000)
(20,105,1.000000)
(56,105,4.000000)
(13,278,43.000000)
(56,290,5.000000)
(268,288,37.000000)
(106,109,1.000000)
(109,263,1.000000)
(109,288,5.000000)
(109,265,2.000000)
(82,258,2.000000)
(264,294,7.000000)
(272,288,9.000000)
(13,104,87.000000)
(258,294,7.000000)
(82,253,6.000000)
(267,281,3.000000)
(13,251,13.000000)
(106,288,1.000000)
(106,294,2.000000)
(251,281,4.000000)
(13,101,19.000000)
(101,258,6.000000)
(251,294,4.000000)
(263,288,6.000000)
(82,265,7.000000)
(13,265,10.000000)
(101,105,37.000000)
(265,294,2.000000)
(280,290,52.000000)
(0,280,1.000000)
(104,109,1.000000)
(106,251,1.000000)
(20,288,24.000000)
(109,267,3.000000)
(101,278,2.000000)
(32,294,1.000000)
(265,278,6.000000)
(7,258,2.000000)
(104,264,125.000000)
(104,105,3.000000)
(82,104,1.000000)
(20,101,1.000000)
(13,288,5.000000)
(105,285,4.000000)
(20,264,2.000000)
(99,258,7.000000)
(27,106,1.000000)
(264,267,1.000000)
(104,281,8.000000)
(106,265,3.000000)
(266,288,47.000000)
(106,276,9.000000)
(82,107,3.000000)
(107,258,4.000000)
(268,272,12.000000)
(109,258,1.000000)
(107,251,16.000000)
(104,107,12.000000)
(0,288,1.000000)
(264,292,19.000000)
(107,280,2.000000)
(258,280,21.000000)
(267,292,3.000000)
(20,106,2.000000)
(251,280,13.000000)
(99,106,1.000000)
(16,267,2.000000)
(16,280,1.000000)
(281,292,3.000000)
(35,261,2.000000)
(56,107,2.000000)
(107,281,2.000000)
(106,273,30.000000)
(268,276,2.000000)
(258,265,3.000000)
(266,293,22.000000)
(81,264,1.000000)
(101,281,1.000000)
(264,278,1.000000)
(105,292,12.000000)
(99,293,34.000000)
(99,292,5.000000)
(292,293,2.000000)
(105,293,1.000000)
(56,256,2.000000)
(105,251,34.000000)
(99,290,17.000000)
(101,253,1.000000)
(16,253,3.000000)
(19,273,1.000000)
(101,290,1.000000)
(261,266,711.000000)
(7,280,4.000000)
(7,264,9.000000)
(266,292,7.000000)
(7,266,2.000000)
(7,292,1.000000)
(108,266,2.000000)
(7,276,36.000000)
(13,292,1.000000)
(7,82,3.000000)
